app,review,score
Gojek,"untuk gerai gofood kenapa cuma muter2 area itu2 aja y?padahal biasanya bisa sampe sejauh mungkin,sekarang kok areanya cuma itu2 aja",1
Gojek,bagus,5
Gojek,top,5
Gojek,sangat membantu sbnarnya...cuma disaat liburan armada di kota sy kadang kurang shga susah cari armadanya utk armada gocarnya,5
Gojek,terbaik,5
Gojek,sangat puas untuk perjalanan nyaman,5
Gojek,oke,5
Gojek,nyaman,5
Gojek,kicau mania,5
Gojek,nice,5
Gojek,sangat membantu,5
Gojek,Sangat membantu sat set,5
Gojek,siap berangkat ke tujuan gak pakai ribet gak pakai lama biaya juga aman di kantong,5
Gojek,sangat baik,5
Gojek,ngeselin,2
Gojek,👍,5
Gojek,aplikasi ya mudah digunakan dan lancar.,5
Gojek,"lagi urgent, gak bisa trx pake linkaja, plus kena rate limiting.. huftt.. kalo gak bisa trx, jangan di kasih rate limit gitu.. plus banyak banget driver ngakalin kaya matiin paket data supaya kita nge cancel duluan.. saya tadi dan beberapa waktu lalu nungguin cukup lama lho.. mungkin bisa tembusin ke product management nya.. makasih",1
Gojek,terbantu sekalo,5
Gojek,ramah,5
Gojek,"aneh, nyarinya lama kali, udh telat juga untuk ngampus, di batalin malah gojeknya datang sementara saya udh naik mitra lain",2
Gojek,Mantap,5
Gojek,mantap,5
Gojek,"terimakasi gojek dan drivernya, sukses dan sehat semua untuk drivernya. sangat memudahkan saya dalam pengiriman tanaman ke pelanggan 🙏",5
Gojek,pelayanan yang hebat,5
Gojek,mantappppp,5
Gojek,"sy langganan gojeg sdh lbh dari 6 thn dan pernah jd prioritas dan lebih suka kalau banyak discount dari go food atau transportasi, pertahankan dan tingkatkan",4
Gojek,tepat waktu,5
Gojek,ok,4
Gojek,kren,5
Gojek,woke,5
Gojek,apaan bgt pake gocar prioritas nunggu 15 menit. jelek,1
Gojek,Hari ini lebih murah dari sebelah. pertahankan ya,5
Gojek,"sigap,cepat gak ribet",5
Gojek,"gojek aman n terpercaya banyak promo"" discount'a good Job Gojek 👍😉",5
Gojek,Sangat Membantu,5
Gojek,"fitur gocatsnya tidak bisa diklaim hadiah dengan benar, dan berasa cuma gimmick . tolong perbaiki.",2
Gojek,Driver nyh klo bisa di suruh mandi dan pake parfum dan pakaian yang rapi. klo bisa pihak aplikasinya di kasih notifikasi di aplikasi nyh setiap jam dan waktu.,5
Gojek,Trimakasih banyak gojek setiap pagi kalo ngak sempet nganter sekolah. pke gojek aja simple aman no drama drama club🥰🥰,5
Gojek,berhasil pesan gocar dengan mengatur jadwal kereeen...,4
Gojek,satu kata.. KECEWA,1
Gojek,no coment kalau bisa driver2 nya disejahterakan,5
Gojek,lambat tidak bisa diandalkan,1
Gojek,Keren..,5
Gojek,Hidup aplikator pungli 🫢,1
Gojek,good,5
Gojek,"adain pengantaran ke cabang Bungin dong, ya jarang ke sana sih tpi klo ke sana pasti mke gojek dulu bisa, knp sekarang enggak",4
Gojek,oke baik,4
Gojek,sangat bermanfaat sekali untuk saya,5
Gojek,"bagus, dan cepat",5
Gojek,susah dapat gojek bila malam,2
Gojek,"nyari driver lama, gabisa dicancel",1
Gojek,kenapa si selalu susah cari driver bikin orang kesel aja orang udah laper jadi makin di undur karna susah cari driver,1
Gojek,Bisa diandalkan & tidak mengecewakan,5
Gojek,lama kali bujang aku mesan makan driver tidak ada yg ngambil lokasi bontang,1
Gojek,best banget,5
Gojek,ga bisa ngasih kepastian klo pesanannya ga diambil driver costumer digantungin suruh nunggu sampe kiamat,2
Gojek,best tapi jarang ada potongan harganya sekarang untuk gofood,5
Gojek,okee,4
Gojek,Sip manntulll. trimakasih GO-FOOD,5
Gojek,1.Kalau lewat jam 6 pagi drivernya dapetnya yang jauh jauh.2.bagus tapi susah set lokasi jemput lewat mapnya.,3
Gojek,kpan pun dan dimana pun bisa order buat keluarga yang jauh dari kita 🥰🥰,5
Gojek,"Bagus.. sangat mudah digunakan dan banyak Promonya dan semoga kedepannya GoJek Gofood jd Partner yang Lebih Baik Lagi, Syukron.",5
Gojek,"tolong dong perbaikin GPSnya,yang bener dikit kek tuh appsnya",1
Gojek,Kapan ada pembayaran QRIS???,4
Gojek,Bagus,4
Gojek,Mantap Gojek,5
Gojek,GAK NGOTAK BANGET ONGKIR SAMA BIAYA PENANGANAN GOFOOD mending sih Shopeefood lebih free ongkir banyak promonya real ga cuma sekedar jargon doang,1
Gojek,okelah pokoknya,5
Gojek,oke aja,5
Gojek,baguss,5
Gojek,"driver lu jelek, ga dapat2 driver harus nunggu 1 jam dulu baru bisa ngancel, otak yang punya aplikasi dimana, 1 jam belum tentu dapat apa2 keburu tutup tokonya",1
Gojek,aplikasi nya bagus gampang nyari menu nya dan ada diskon besar-besaran ☺️,5
Gojek,kalau emang driver nya kaga mau ngomong atau chat ke saya!! saya udh nunggu lama drivernya GK jalan jalan malah di batalin sama drivernya!!!,1
Gojek,"aplikasi yg sangat membantu ,dalam transportasi dan kuliner,dan banyak discount",5
Gojek,Mantapppp,5
Gojek,makasih,5
Gojek,murah dan pelayanannya sangat baik,5
Gojek,"kecewa sekali dgn apk ini,buka gopay sdh disetujui.tinggal tanda tangan digital eh susahnya minta ampun gk bs ke buka.cpk jg hrs mencoba trs.mohon diperbaiki systemnya",2
Gojek,tidak semua nya baik,3
Gojek,Drivernya pada gamau anter gofood yang pake voucher😂,1
Gojek,"saya kasih bintang 1 saya pesan 2× gagal saldo blm masuk² ( di kembalikan ) saya tunggu saldo saya kembali kalau tidak saya uninstall apk""nya nnti saya beri ulasan lebih jelek jangan jadi koruptor bos emank sih ga seberapa besar uang""nya tapi uang itu hasil saya kerja & keringat saya sendiri terima kasih",1
Gojek,"KFC buka tutup setiap 30 menit dan promo hilang saat buka kembali. jika telah pesan, nggak dapat driver.",1
Gojek,mantap say,5
Gojek,baik-baik saja kok...,5
Gojek,pelayanan bagus,5
Gojek,istimewa,5
Gojek,sejauh ini oke apk ini,5
Gojek,"sangat membantu , bisa diandalkan",5
Gojek,bagus sekali apk nya,5
Gojek,"driver yg nganter makanan sering banget udh dikasih tip tiba"" ngga jadi dia yg nganter parahh, tolong diperbaiki sikap nya",3
Gojek,top transaksi on line,5
Gojek,aplikasi nya sangat memudahkan,5
Gojek,Pelayanan Bagus,5
Gojek,Aplikasinya cukup bagus dan berguna 👍🏻,4
Gojek,drivernya ramah,5
Gojek,kecewa parah,2
Gojek,knpa skrg susah bgt dpt driver sih males,4
Gojek,sopir sangat melayani,5
Gojek,mempermudaah segalanyaa,5
Gojek,"Punya masalah susah sekali telfon cs nya. Menghubungi lewat sosial media juga tidak berguna, minim respon ketika ada masalah. Sangat tidak di rekomendasikan menggunakan ini, cari aplikasi lain saja yang bisa lebih membantu.",1
Gojek,terimakasih mantab Yo,5
Gojek,ga sekali dua kali udah berkali-kali di php in go food. pesan makanan udh nunggu lama tapi g dpt driver. ga ada yg jemput makanan.,1
Gojek,cepet baik ramah,5
Gojek,"makin kesini makin ga jelas ini aplikasi, nyediain fitur ongkir MURAAH tapi berjam jam ga dapet driver. kejadian udh bkn sekali duakali, komplen ke CS juga ga ada solusi. lu gausah nyediain fitur kek gini kalo ga bisa maksimalin pelayan lu, bikin orang nunggu-nunggu lama!!!!!!!",1
Gojek,pelayanan cepat no ribet,5
Gojek,Gojek emang thebessss,5
Gojek,cpt kl ngirim yg sy order..makasih,5
Gojek,"td nya berharap gojek makin maju,eh bukanya maju eh tambah menyengsarakan driver gojek potongan dari aplikasi gede driver ojol cuma dapet cape nya aja",1
Gojek,Aplikaisnya Oke...,5
Gojek,sangat oke,5
Gojek,"selalu tepat waktu ,Good Job 👍🏻",5
Gojek,mantap pelayanan prima,5
Gojek,"mau liat resto pake filter terdekat, listnya keulang-ulang terus jadi gak bisa eksplor restonya. gak semua yang terdekat sih, kadang pakai yang ""aneka nasi"" juga listnya keulang-ulang lagi",1
Gojek,pelayanannya aman dan cepat,5
Gojek,semakin mahal ongkir gofood nya,2
Gojek,memudah kan urusan makan,5
Gojek,aplikasi kapitalis. pilih yg murah emang lama bgt dpt driver.,1
Gojek,SAYA GABISA MASIK AKUNNYA UDH 2 MINGGU INI KARNA STAK DI FOTO MUKA PADAHAL DI APK LAINNYA BISA! ADA SALDO SAYA YG NGENDAP DISINI SOALNYA,1
Gojek,its ok,4
Gojek,SANGAT BURUK! PESANAN GOFOOD SUDAH JADI DI RESTO TAPI TIDAK ADA DRIVER YANG AMBIL. TERUS DENGAN SANTAI NYA PIHAK GOJEK CANCEL. APLIKASI BOBROK,1
